#mag  ,bias  ,sigma,outlierFrac
12.000,-0.025,0.012,0.222
14.500,-0.025,0.012,0.222
14.750,-0.022,0.014,0.211
15.000,-0.020,0.015,0.103
15.250,-0.016,0.015,0.020
15.500,-0.009,0.016,0.038
15.750,-0.004,0.014,0.034
16.000,-0.002,0.015,0.036
16.250,0.001,0.014,0.038
16.500,0.001,0.016,0.018
16.750,0.002,0.018,0.018
17.000,0.002,0.017,0.028
17.250,0.004,0.019,0.017
17.500,0.003,0.020,0.045
17.750,0.005,0.020,0.047
18.000,0.005,0.023,0.045
18.250,0.008,0.025,0.037
18.500,0.013,0.027,0.008
18.750,0.013,0.030,0.014
19.000,0.009,0.031,0.018
19.250,0.009,0.033,0.028
19.500,0.007,0.035,0.030
19.750,0.007,0.036,0.038
20.000,0.008,0.038,0.044
20.250,0.008,0.038,0.049
20.500,0.008,0.041,0.046
20.750,0.009,0.042,0.041
21.000,0.010,0.045,0.045
21.250,0.010,0.044,0.042
21.500,0.010,0.047,0.047
21.750,0.008,0.051,0.050
22.000,0.006,0.057,0.056
22.250,0.004,0.061,0.056
22.500,0.007,0.067,0.050
22.750,0.005,0.081,0.076
23.000,0.005,0.081,0.076
