#z  ,bias  ,sigma,outlierFrac
0.100,0.000,0.022,0.000
0.125,0.000,0.024,0.000
0.150,0.000,0.027,0.000
0.175,0.000,0.030,0.000
0.200,0.000,0.032,0.000
0.225,0.000,0.034,0.000
0.250,0.000,0.035,0.000
0.275,0.000,0.037,0.000
0.300,0.000,0.038,0.000
0.325,0.000,0.039,0.000
0.350,0.000,0.041,0.000
0.375,0.000,0.042,0.000
0.400,0.000,0.043,0.000
0.425,0.000,0.044,0.000
0.450,0.000,0.044,0.000
0.475,0.000,0.045,0.000
0.500,0.000,0.047,0.000
0.525,0.000,0.048,0.000
0.550,0.000,0.049,0.000
0.575,0.000,0.050,0.000
0.600,0.000,0.052,0.000
0.625,0.000,0.055,0.000
0.650,0.000,0.056,0.000
0.675,0.000,0.058,0.000
0.700,0.000,0.058,0.000
