#z   ,bias  ,sigma ,zlow ,zhigh, outlierFrac  
0.100,0.000,0.009,0.000,0.000,0.160
0.125,0.000,0.011,0.000,0.000,0.136
0.150,0.000,0.018,0.000,0.000,0.113
0.175,0.000,0.018,0.000,0.000,0.106
0.200,0.000,0.022,0.000,0.000,0.131
0.225,0.000,0.016,0.000,0.000,0.136
0.250,0.000,0.017,0.000,0.000,0.130
0.275,0.000,0.023,0.000,0.000,0.133
0.300,0.000,0.037,0.000,0.000,0.119
0.325,0.000,0.027,0.000,0.000,0.127
0.350,0.000,0.021,0.000,0.000,0.135
0.375,0.000,0.019,0.000,0.000,0.129
0.400,0.000,0.021,0.000,0.000,0.106
0.425,0.000,0.019,0.000,0.000,0.075
0.450,0.000,0.015,0.000,0.000,0.082
0.475,0.000,0.011,0.000,0.000,0.082
0.500,0.000,0.013,0.000,0.000,0.064
0.525,-0.000,0.014,0.000,0.000,0.051
0.550,-0.000,0.014,0.000,0.000,0.064
0.575,0.000,0.013,0.000,0.000,0.073
0.600,0.000,0.015,0.000,0.000,0.077
0.625,0.000,0.019,0.000,0.000,0.075
0.650,0.000,0.021,0.000,0.000,0.072
