##buzzard v2.0 truth table, galaxies within Mi<=-19.5 selected
##atention: the mi is the lsst i-band
##z,mi
0.087, 18.025
0.113, 18.296
0.138, 19.010
0.163, 19.298
0.188, 19.729
0.213, 20.011
0.238, 20.224
0.263, 20.602
0.288, 20.737
0.313, 21.044
0.338, 21.251
0.363, 21.426
0.388, 21.615
0.413, 21.818
0.438, 21.975
0.463, 22.160
0.488, 22.305
0.513, 22.460
0.538, 22.595
0.563, 22.743
0.588, 22.876
0.613, 22.999
0.638, 23.144
0.663, 23.270
0.688, 23.395
0.713, 23.539
0.738, 23.639
0.763, 23.807
0.788, 23.925
0.813, 24.063
0.838, 24.173
0.863, 24.300
0.888, 24.384
0.913, 24.497
0.938, 24.614
0.963, 24.727
0.988, 24.840
1.013, 24.933
1.038, 25.100
