,x,y1,y2,y1err,y2err,z
0,371699992231936.0,1661010353110.51,3011515112104.815,388923596344.89813,1383873282157.381,0.3057112996258763
1,116100004052992.0,523638278801.3248,889013041587.6948,173859126780.18005,275765438016.1566,0.14028745983775467
2,93300002390016.0,688293706707.2847,678125399751.6901,178016521937.56793,209834579739.53156,0.15978885696260617
3,87869997711360.0,1498256510416.7017,1273829792729.5977,379915557460.0211,459225411304.53766,0.14553398031478487
4,105900001984512.0,1392941758675.2676,1510837216226.456,796457103006.5569,872174188874.555,0.1844083933922382
5,54049999159296.0,322534535955.57916,398277920878.1121,126243875392.69313,163427595240.6479,0.15945146239187055
6,237200004349952.0,2804555756762.5254,2679839996489.1714,384234414078.80707,532554270973.3621,0.15005788291463645
7,67409998249984.0,373868006190.60706,664298266946.7769,166410164377.70087,327271709963.3892,0.17731093956211127
8,252500003258368.0,1525711681403.388,2063533370057.2954,453071810377.7615,519056947263.42114,0.20527194418621753
9,201700002496512.0,2030927415000.8804,2366465435211.337,459721288265.61694,557623939684.9065,0.24263193758582632
10,228899996827648.0,2084923730850.2004,2021529517655.2998,474156886321.7784,499723880690.2176,0.1867867324511967
11,80339997294592.0,600863196343.9786,983184232013.1288,283778730317.6877,380741948857.1028,0.23697902197748077
12,104300000837632.0,410162607451.3829,563799607287.1001,165965646037.29346,195976640278.52908,0.1824053285387148
13,326899993673728.0,1472587386144.757,1473161842649.7996,311583407037.9295,384800685382.4653,0.20418149779719205
14,57900001132544.0,583279359722.7765,602428520011.6412,260314097971.0441,299655411175.271,0.2073378115174682
15,59639999758336.0,303565862206.4175,358347298607.5021,158319372619.0421,185236160583.97168,0.21758021511864592
16,142999996596224.0,1230476496056.4014,1316683133432.0884,272414121081.71497,387576881882.397,0.22994050547255815
17,86500003807232.0,566857263990.5754,757112729555.6392,205545998603.74384,268133725742.11218,0.21293538828001776
18,139199999115264.0,499262282137.60095,629365746824.8663,137402839452.59596,187250320459.48483,0.2677973673768286
19,82410003759104.0,655634977667.5706,928676598279.3939,325176443842.74896,416488242865.3917,0.26753463120652166
20,105900001984512.0,1145146547024.5662,1090932039117.6602,348232786316.7627,406335414885.42676,0.282201017248422
