##buzzard v2.0 truth table, galaxies within Mi<=-19.5 selected
##atention: the mi is the lsst i-band
##z,mi
0.087, 19.428
0.113, 19.833
0.138, 20.478
0.163, 20.778
0.188, 21.180
0.213, 21.454
0.238, 21.721
0.263, 22.022
0.288, 22.231
0.313, 22.457
0.338, 22.725
0.363, 22.881
0.388, 23.033
0.413, 23.245
0.438, 23.425
0.463, 23.552
0.488, 23.682
0.513, 23.837
0.538, 23.977
0.563, 24.114
0.588, 24.204
0.613, 24.352
0.638, 24.404
0.663, 24.569
0.688, 24.675
0.713, 24.896
0.738, 24.960
0.763, 25.156
0.788, 25.160
0.813, 25.333
0.838, 25.411
0.863, 25.528
0.888, 25.616
0.913, 25.621
0.938, 25.803
0.963, 25.951
0.988, 26.148
1.013, 26.236
1.038, 26.396
