##buzzard v2.0 truth table central galaxies selected
##atention: the mi is the lsst i-band
##z,mi
0.087, 15.872
0.113, 16.273
0.138, 16.940
0.163, 17.170
0.188, 17.487
0.213, 17.773
0.238, 17.864
0.263, 18.118
0.288, 18.318
0.313, 18.475
0.338, 18.575
0.363, 18.797
0.388, 18.959
0.413, 19.091
0.438, 19.194
0.463, 19.318
0.488, 19.452
0.513, 19.507
0.538, 19.748
0.563, 19.838
0.588, 19.985
0.613, 20.010
0.638, 20.211
0.663, 20.308
0.688, 20.425
0.713, 20.515
0.738, 20.677
0.763, 20.812
0.788, 21.011
0.813, 21.192
0.838, 21.319
0.863, 21.450
0.888, 21.589
0.913, 21.644
0.938, 21.800
0.963, 21.785
0.988, 21.811
1.013, 21.858
1.038, 22.245
