#z   ,bias  ,sigma ,zlow ,zhigh, outlierFrac  
0.100, -0.00238, 0.009, -0.015, 0.009, 0.071
0.200, 0.00445, 0.008, -0.003, 0.012, 0.048
0.300, 0.00352, 0.007, -0.003, 0.010, 0.033
0.400, -0.00128, 0.007, -0.008, 0.005, 0.024
0.500, -0.00140, 0.006, -0.008, 0.003, 0.048
0.600, 0.00091, 0.005, -0.004, 0.006, 0.117
0.700, 0.00174, 0.006, -0.004, 0.008, 0.040
0.800, 0.00103, 0.006, -0.004, 0.007, 0.118
0.900, -0.00106, 0.005, -0.005, 0.003, 0.132
1.000, -0.00275, 0.008, -0.009, 0.003, 0.026
1.100, -0.00974, 0.010, -0.023, -0.001, 0.000
1.200, -0.01778, 0.007, -0.023, -0.011, 0.000
1.300, -0.01725, 0.004, -0.021, -0.014, 0.000
